Date,Country,JCVIPriorityGroup,Population,PopulationQF,Dose,CumulativeNumberVaccinated,CumulativePercentCoverage,CumulativePercentCoverageQF,AgeBand
20210318,S92000003,1 - Care Home Staff,50000,,Dose 1,48715,97.43,,All vaccinations
20210318,S92000003,1 - Care Home Staff,50000,,Dose 2,34002,68.004,,All vaccinations
20210318,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 1,323742,,z,All vaccinations
20210318,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 2,134815,,z,All vaccinations
20210318,S92000003,2 - Specified Frontline Health and Social Care Workers,222977,,Dose 1,181109,81.223175484467,,All vaccinations
20210318,S92000003,2 - Specified Frontline Health and Social Care Workers,222977,,Dose 2,93406,41.890419191217,,All vaccinations
20210318,S92000003,4 - Clinically Extremely Vulnerable,177011,,Dose 1,164050,92.6778561784296,,All vaccinations
20210318,S92000003,4 - Clinically Extremely Vulnerable,177011,,Dose 2,7248,4.0946607837931,,All vaccinations
20210319,S92000003,1 - All Care Home Residents,,:,Dose 1,33268,,z,All vaccinations
20210319,S92000003,1 - All Care Home Residents,,:,Dose 2,25593,,z,All vaccinations
20210319,S92000003,1 - Care Home Residents - Older Adults,27361,,Dose 1,26332,96.2391725448631,,All vaccinations
20210319,S92000003,1 - Care Home Residents - Older Adults,27361,,Dose 2,22061,80.62936296188,,All vaccinations
20210319,S92000003,1 - Care Home Staff,50000,,Dose 1,48851,97.702,,All vaccinations
20210319,S92000003,1 - Care Home Staff,50000,,Dose 2,34587,69.174,,All vaccinations
20210319,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 1,324432,,z,All vaccinations
20210319,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 2,136909,,z,All vaccinations
20210319,S92000003,2 - Specified Frontline Health and Social Care Workers,222977,,Dose 1,181410,81.3581669858326,,All vaccinations
20210319,S92000003,2 - Specified Frontline Health and Social Care Workers,222977,,Dose 2,94686,42.4644694295824,,All vaccinations
20210319,S92000003,4 - Clinically Extremely Vulnerable,177011,,Dose 1,164145,92.7315251594534,,All vaccinations
20210319,S92000003,4 - Clinically Extremely Vulnerable,177011,,Dose 2,7612,4.30029772161052,,All vaccinations
20210320,S92000003,1 - All Care Home Residents,,:,Dose 1,33385,,z,All vaccinations
20210320,S92000003,1 - All Care Home Residents,,:,Dose 2,25917,,z,All vaccinations
20210320,S92000003,1 - Care Home Residents - Older Adults,27361,,Dose 1,26352,96.3122692884032,,All vaccinations
20210320,S92000003,1 - Care Home Residents - Older Adults,27361,,Dose 2,22272,81.4005336062278,,All vaccinations
20210320,S92000003,1 - Care Home Staff,50000,,Dose 1,49202,98.404,,All vaccinations
20210320,S92000003,1 - Care Home Staff,50000,,Dose 2,35358,70.716,,All vaccinations
20210320,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 1,326858,,z,All vaccinations
20210320,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 2,146096,,z,All vaccinations
20210320,S92000003,2 - Specified Frontline Health and Social Care Workers,222977,,Dose 1,182298,81.7564143386986,,All vaccinations
20210320,S92000003,2 - Specified Frontline Health and Social Care Workers,222977,,Dose 2,98643,44.2390919242792,,All vaccinations
20210320,S92000003,4 - Clinically Extremely Vulnerable,177011,,Dose 1,164325,92.8332137550774,,All vaccinations
20210320,S92000003,4 - Clinically Extremely Vulnerable,177011,,Dose 2,8184,4.6234414810379,,All vaccinations
20210321,S92000003,1 - All Care Home Residents,,:,Dose 1,33409,,z,All vaccinations
20210321,S92000003,1 - All Care Home Residents,,:,Dose 2,26017,,z,All vaccinations
20210321,S92000003,1 - Care Home Residents - Older Adults,27361,,Dose 1,26354,96.3195789627572,,All vaccinations
20210321,S92000003,1 - Care Home Residents - Older Adults,27361,,Dose 2,22359,81.7185044406272,,All vaccinations
20210321,S92000003,1 - Care Home Staff,50000,,Dose 1,49306,98.612,,All vaccinations
20210321,S92000003,1 - Care Home Staff,50000,,Dose 2,35482,70.964,,All vaccinations
20210321,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 1,327490,,z,All vaccinations
20210321,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 2,147712,,z,All vaccinations
20210321,S92000003,2 - Specified Frontline Health and Social Care Workers,222977,,Dose 1,182677,81.9263870264646,,All vaccinations
20210321,S92000003,2 - Specified Frontline Health and Social Care Workers,222977,,Dose 2,99375,44.5673769043444,,All vaccinations
20210321,S92000003,4 - Clinically Extremely Vulnerable,177011,,Dose 1,164366,92.8563761574139,,All vaccinations
20210321,S92000003,4 - Clinically Extremely Vulnerable,177011,,Dose 2,8487,4.79461728367164,,All vaccinations
20210322,S92000003,1 - All Care Home Residents,,:,Dose 1,33477,,z,All vaccinations
20210322,S92000003,1 - All Care Home Residents,,:,Dose 2,26391,,z,All vaccinations
20210322,S92000003,1 - Care Home Residents - Older Adults,27361,,Dose 1,26364,96.3561273345272,,All vaccinations
20210322,S92000003,1 - Care Home Residents - Older Adults,27361,,Dose 2,22658,82.8113007565513,,All vaccinations
20210322,S92000003,1 - Care Home Staff,50000,,Dose 1,49479,98.958,,All vaccinations
20210322,S92000003,1 - Care Home Staff,50000,,Dose 2,36087,72.174,,All vaccinations
20210322,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 1,328738,,z,All vaccinations
20210322,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 2,154569,,z,All vaccinations
20210322,S92000003,2 - Specified Frontline Health and Social Care Workers,222977,,Dose 1,183171,82.1479345403338,,All vaccinations
20210322,S92000003,2 - Specified Frontline Health and Social Care Workers,222977,,Dose 2,102722,46.0684285823201,,All vaccinations
20210322,S92000003,4 - Clinically Extremely Vulnerable,177011,,Dose 1,164457,92.9077853918683,,All vaccinations
20210322,S92000003,4 - Clinically Extremely Vulnerable,177011,,Dose 2,8937,5.04883877273164,,All vaccinations
20210323,S92000003,1 - All Care Home Residents,,:,Dose 1,33559,,z,All vaccinations
20210323,S92000003,1 - All Care Home Residents,,:,Dose 2,26856,,z,All vaccinations
20210323,S92000003,1 - Care Home Residents - Older Adults,27200,,Dose 1,26231,96.4375,,All vaccinations
20210323,S92000003,1 - Care Home Residents - Older Adults,27200,,Dose 2,22954,84.3897058823529,,All vaccinations
20210323,S92000003,1 - Care Home Staff,50000,,Dose 1,49693,99.386,,All vaccinations
20210323,S92000003,1 - Care Home Staff,50000,,Dose 2,36913,73.826,,All vaccinations
20210323,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 1,329931,,z,All vaccinations
20210323,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 2,162661,,z,All vaccinations
20210323,S92000003,2 - Specified Frontline Health Care Workers,105012,,Dose 1,92300,87.8947167942711,,All vaccinations
20210323,S92000003,2 - Specified Frontline Health Care Workers,105012,,Dose 2,62575,59.5884279891822,,All vaccinations
20210323,S92000003,2 - Specified Frontline Social Care Workers,117965,,Dose 1,91325,77.4170304751409,,All vaccinations
20210323,S92000003,2 - Specified Frontline Social Care Workers,117965,,Dose 2,44142,37.4195736023397,,All vaccinations
20210323,S92000003,4 - Clinically Extremely Vulnerable,176730,,Dose 1,164357,92.9989249137102,,All vaccinations
20210323,S92000003,4 - Clinically Extremely Vulnerable,176730,,Dose 2,9597,5.43031743337294,,All vaccinations
20210323,S92000003,6 - 16 to 64 year olds with underlying health conditions,763735,,Dose 1,614898,80.5119576816566,,All vaccinations
20210323,S92000003,6 - 16 to 64 year olds with underlying health conditions,763735,,Dose 2,42085,5.51041918990226,,All vaccinations
20210323,S92000003,6 - Unpaid Carers aged 16 and over,,:,Dose 1,85692,,z,All vaccinations
20210323,S92000003,6 - Unpaid Carers aged 16 and over,,:,Dose 2,1482,,z,All vaccinations
20210324,S92000003,1 - All Care Home Residents,,:,Dose 1,33631,,z,All vaccinations
20210324,S92000003,1 - All Care Home Residents,,:,Dose 2,27184,,z,All vaccinations
20210324,S92000003,1 - Care Home Residents - Older Adults,27200,,Dose 1,26239,96.4669117647059,,All vaccinations
20210324,S92000003,1 - Care Home Residents - Older Adults,27200,,Dose 2,23200,85.2941176470588,,All vaccinations
20210324,S92000003,1 - Care Home Staff,50000,,Dose 1,49908,99.816,,All vaccinations
20210324,S92000003,1 - Care Home Staff,50000,,Dose 2,37586,75.172,,All vaccinations
20210324,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 1,331305,,z,All vaccinations
20210324,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 2,169923,,z,All vaccinations
20210324,S92000003,2 - Specified Frontline Health Care Workers,105012,,Dose 1,92518,88.1023121167105,,All vaccinations
20210324,S92000003,2 - Specified Frontline Health Care Workers,105012,,Dose 2,64570,61.4882108711385,,All vaccinations
20210324,S92000003,2 - Specified Frontline Social Care Workers,117965,,Dose 1,91622,77.6688000678167,,All vaccinations
20210324,S92000003,2 - Specified Frontline Social Care Workers,117965,,Dose 2,45780,38.8081210528547,,All vaccinations
20210324,S92000003,4 - Clinically Extremely Vulnerable,176730,,Dose 1,164497,93.0781417982233,,All vaccinations
20210324,S92000003,4 - Clinically Extremely Vulnerable,176730,,Dose 2,10497,5.93956883381429,,All vaccinations
20210324,S92000003,6 - 16 to 64 year olds with underlying health conditions,763735,,Dose 1,619200,81.0752420669473,,All vaccinations
20210324,S92000003,6 - 16 to 64 year olds with underlying health conditions,763735,,Dose 2,43826,5.73837784048132,,All vaccinations
20210324,S92000003,6 - Unpaid Carers aged 16 and over,,:,Dose 1,87706,,z,All vaccinations
20210324,S92000003,6 - Unpaid Carers aged 16 and over,,:,Dose 2,1565,,z,All vaccinations
20210325,S92000003,1 - All Care Home Residents,,:,Dose 1,33695,,z,All vaccinations
20210325,S92000003,1 - All Care Home Residents,,:,Dose 2,27631,,z,All vaccinations
20210325,S92000003,1 - Care Home Residents - Older Adults,27200,,Dose 1,26251,96.5110294117647,,All vaccinations
20210325,S92000003,1 - Care Home Residents - Older Adults,27200,,Dose 2,23548,86.5735294117647,,All vaccinations
20210325,S92000003,1 - Care Home Staff,50000,,Dose 1,50132,100.264,,All vaccinations
20210325,S92000003,1 - Care Home Staff,50000,,Dose 2,38292,76.584,,All vaccinations
20210325,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 1,332508,,z,All vaccinations
20210325,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 2,177272,,z,All vaccinations
20210325,S92000003,2 - Specified Frontline Health Care Workers,105012,,Dose 1,92712,88.2870529082391,,All vaccinations
20210325,S92000003,2 - Specified Frontline Health Care Workers,105012,,Dose 2,66135,62.9785167409439,,All vaccinations
20210325,S92000003,2 - Specified Frontline Social Care Workers,117965,,Dose 1,91898,77.9027677701013,,All vaccinations
20210325,S92000003,2 - Specified Frontline Social Care Workers,117965,,Dose 2,47501,40.2670283558683,,All vaccinations
20210325,S92000003,4 - Clinically Extremely Vulnerable,176730,,Dose 1,164627,93.1517003338426,,All vaccinations
20210325,S92000003,4 - Clinically Extremely Vulnerable,176730,,Dose 2,11628,6.57952809370226,,All vaccinations
20210325,S92000003,6 - 16 to 64 year olds with underlying health conditions,763735,,Dose 1,623417,81.6273969374194,,All vaccinations
20210325,S92000003,6 - 16 to 64 year olds with underlying health conditions,763735,,Dose 2,45604,5.97118110339319,,All vaccinations
20210325,S92000003,6 - Unpaid Carers aged 16 and over,,:,Dose 1,90451,,z,All vaccinations
20210325,S92000003,6 - Unpaid Carers aged 16 and over,,:,Dose 2,1673,,z,All vaccinations
20210326,S92000003,1 - All Care Home Residents,,:,Dose 1,33757,,z,All vaccinations
20210326,S92000003,1 - All Care Home Residents,,:,Dose 2,27896,,z,All vaccinations
20210326,S92000003,1 - Care Home Residents - Older Adults,27200,,Dose 1,26279,96.6139705882353,,All vaccinations
20210326,S92000003,1 - Care Home Residents - Older Adults,27200,,Dose 2,23711,87.1727941176471,,All vaccinations
20210326,S92000003,1 - Care Home Staff,50000,,Dose 1,50319,100.638,,All vaccinations
20210326,S92000003,1 - Care Home Staff,50000,,Dose 2,38975,77.95,,All vaccinations
20210326,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 1,333771,,z,All vaccinations
20210326,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 2,183567,,z,All vaccinations
20210326,S92000003,2 - Specified Frontline Health Care Workers,105012,,Dose 1,92849,88.4175141888546,,All vaccinations
20210326,S92000003,2 - Specified Frontline Health Care Workers,105012,,Dose 2,67212,64.0041138155639,,All vaccinations
20210326,S92000003,2 - Specified Frontline Social Care Workers,117965,,Dose 1,92187,78.1477556902471,,All vaccinations
20210326,S92000003,2 - Specified Frontline Social Care Workers,117965,,Dose 2,49032,41.5648709362947,,All vaccinations
20210326,S92000003,4 - Clinically Extremely Vulnerable,176730,,Dose 1,164747,93.2196005205681,,All vaccinations
20210326,S92000003,4 - Clinically Extremely Vulnerable,176730,,Dose 2,12566,7.11028121994002,,All vaccinations
20210326,S92000003,6 - 16 to 64 year olds with underlying health conditions,763735,,Dose 1,627535,82.1665891965145,,All vaccinations
20210326,S92000003,6 - 16 to 64 year olds with underlying health conditions,763735,,Dose 2,47126,6.17046488638075,,All vaccinations
20210326,S92000003,6 - Unpaid Carers aged 16 and over,,:,Dose 1,93342,,z,All vaccinations
20210326,S92000003,6 - Unpaid Carers aged 16 and over,,:,Dose 2,1760,,z,All vaccinations
20210327,S92000003,1 - All Care Home Residents,,:,Dose 1,33859,,z,All vaccinations
20210327,S92000003,1 - All Care Home Residents,,:,Dose 2,28117,,z,All vaccinations
20210327,S92000003,1 - Care Home Residents - Older Adults,27200,,Dose 1,26290,96.6544117647059,,All vaccinations
20210327,S92000003,1 - Care Home Residents - Older Adults,27200,,Dose 2,23834,87.625,,All vaccinations
20210327,S92000003,1 - Care Home Staff,50000,,Dose 1,50563,101.126,,All vaccinations
20210327,S92000003,1 - Care Home Staff,50000,,Dose 2,39612,79.224,,All vaccinations
20210327,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 1,335117,,z,All vaccinations
20210327,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 2,190913,,z,All vaccinations
20210327,S92000003,2 - Specified Frontline Health Care Workers,105012,,Dose 1,92945,88.5089323124976,,All vaccinations
20210327,S92000003,2 - Specified Frontline Health Care Workers,105012,,Dose 2,68341,65.0792290404906,,All vaccinations
20210327,S92000003,2 - Specified Frontline Social Care Workers,117965,,Dose 1,92411,78.3376425210868,,All vaccinations
20210327,S92000003,2 - Specified Frontline Social Care Workers,117965,,Dose 2,50627,42.916966896961,,All vaccinations
20210327,S92000003,4 - Clinically Extremely Vulnerable,176730,,Dose 1,164844,93.2744865048379,,All vaccinations
20210327,S92000003,4 - Clinically Extremely Vulnerable,176730,,Dose 2,13636,7.71572455157585,,All vaccinations
20210327,S92000003,6 - 16 to 64 year olds with underlying health conditions,763735,,Dose 1,631403,82.673047588496,,All vaccinations
20210327,S92000003,6 - 16 to 64 year olds with underlying health conditions,763735,,Dose 2,48838,6.39462640837463,,All vaccinations
20210327,S92000003,6 - Unpaid Carers aged 16 and over,,:,Dose 1,95811,,z,All vaccinations
20210327,S92000003,6 - Unpaid Carers aged 16 and over,,:,Dose 2,1851,,z,All vaccinations
20210328,S92000003,1 - All Care Home Residents,,:,Dose 1,33867,,z,All vaccinations
20210328,S92000003,1 - All Care Home Residents,,:,Dose 2,28183,,z,All vaccinations
20210328,S92000003,1 - Care Home Residents - Older Adults,27200,,Dose 1,26293,96.6654411764706,,All vaccinations
20210328,S92000003,1 - Care Home Residents - Older Adults,27200,,Dose 2,23895,87.8492647058824,,All vaccinations
20210328,S92000003,1 - Care Home Staff,50000,,Dose 1,50678,101.356,,All vaccinations
20210328,S92000003,1 - Care Home Staff,50000,,Dose 2,39870,79.74,,All vaccinations
20210328,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 1,335845,,z,All vaccinations
20210328,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 2,194971,,z,All vaccinations
20210328,S92000003,2 - Specified Frontline Health Care Workers,105012,,Dose 1,93032,88.5917799870491,,All vaccinations
20210328,S92000003,2 - Specified Frontline Health Care Workers,105012,,Dose 2,68933,65.6429741362892,,All vaccinations
20210328,S92000003,2 - Specified Frontline Social Care Workers,117965,,Dose 1,92585,78.485143898614,,All vaccinations
20210328,S92000003,2 - Specified Frontline Social Care Workers,117965,,Dose 2,51506,43.6621031661934,,All vaccinations
20210328,S92000003,4 - Clinically Extremely Vulnerable,176730,,Dose 1,164914,93.3140949470944,,All vaccinations
20210328,S92000003,4 - Clinically Extremely Vulnerable,176730,,Dose 2,14726,8.33248458099927,,All vaccinations
20210328,S92000003,6 - 16 to 64 year olds with underlying health conditions,763735,,Dose 1,633708,82.9748538432833,,All vaccinations
20210328,S92000003,6 - 16 to 64 year olds with underlying health conditions,763735,,Dose 2,49911,6.53512016602617,,All vaccinations
20210328,S92000003,6 - Unpaid Carers aged 16 and over,,:,Dose 1,99237,,z,All vaccinations
20210328,S92000003,6 - Unpaid Carers aged 16 and over,,:,Dose 2,1932,,z,All vaccinations
20210329,S92000003,1 - All Care Home Residents,,:,Dose 1,33934,,z,All vaccinations
20210329,S92000003,1 - All Care Home Residents,,:,Dose 2,28314,,z,All vaccinations
20210329,S92000003,1 - Care Home Residents - Older Adults,27200,,Dose 1,26300,96.6911764705882,,All vaccinations
20210329,S92000003,1 - Care Home Residents - Older Adults,27200,,Dose 2,23954,88.0661764705882,,All vaccinations
20210329,S92000003,1 - Care Home Staff,50000,,Dose 1,50909,101.818,,All vaccinations
20210329,S92000003,1 - Care Home Staff,50000,,Dose 2,40282,80.564,,All vaccinations
20210329,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 1,337511,,z,All vaccinations
20210329,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 2,202207,,z,All vaccinations
20210329,S92000003,2 - Specified Frontline Health Care Workers,105012,,Dose 1,93227,88.777473050699,,All vaccinations
20210329,S92000003,2 - Specified Frontline Health Care Workers,105012,,Dose 2,70112,66.7657029672799,,All vaccinations
20210329,S92000003,2 - Specified Frontline Social Care Workers,117965,,Dose 1,93128,78.9454499215869,,All vaccinations
20210329,S92000003,2 - Specified Frontline Social Care Workers,117965,,Dose 2,53272,45.1591573771881,,All vaccinations
20210329,S92000003,4 - Clinically Extremely Vulnerable,176730,,Dose 1,165030,93.3797317942624,,All vaccinations
20210329,S92000003,4 - Clinically Extremely Vulnerable,176730,,Dose 2,15382,8.70367226843207,,All vaccinations
