areaCode,areaName,areaType,date,newAntibodyTestsByPublishDate
K02000001,United Kingdom,overview,2020-11-07,3099
K02000001,United Kingdom,overview,2020-11-06,7617
K02000001,United Kingdom,overview,2020-11-05,11392
K02000001,United Kingdom,overview,2020-11-04,7384
K02000001,United Kingdom,overview,2020-11-03,10350
K02000001,United Kingdom,overview,2020-11-02,11490
K02000001,United Kingdom,overview,2020-11-01,12536
K02000001,United Kingdom,overview,2020-10-31,15659
K02000001,United Kingdom,overview,2020-10-30,25030
K02000001,United Kingdom,overview,2020-10-29,30453
K02000001,United Kingdom,overview,2020-10-28,35012
K02000001,United Kingdom,overview,2020-10-27,30138
K02000001,United Kingdom,overview,2020-10-26,2489
K02000001,United Kingdom,overview,2020-10-25,622
K02000001,United Kingdom,overview,2020-10-24,1463
K02000001,United Kingdom,overview,2020-10-23,5054
K02000001,United Kingdom,overview,2020-10-22,3775
K02000001,United Kingdom,overview,2020-10-21,4530
K02000001,United Kingdom,overview,2020-10-20,3886
K02000001,United Kingdom,overview,2020-10-19,3192
K02000001,United Kingdom,overview,2020-10-18,495
K02000001,United Kingdom,overview,2020-10-17,1226
K02000001,United Kingdom,overview,2020-10-16,6078
K02000001,United Kingdom,overview,2020-10-15,4541
K02000001,United Kingdom,overview,2020-10-14,4833
K02000001,United Kingdom,overview,2020-10-13,3429
K02000001,United Kingdom,overview,2020-10-12,2973
K02000001,United Kingdom,overview,2020-10-11,523
K02000001,United Kingdom,overview,2020-10-10,2370
K02000001,United Kingdom,overview,2020-10-09,6261
K02000001,United Kingdom,overview,2020-10-08,5089
K02000001,United Kingdom,overview,2020-10-07,4965
K02000001,United Kingdom,overview,2020-10-06,4473
K02000001,United Kingdom,overview,2020-10-05,3503
K02000001,United Kingdom,overview,2020-10-04,1275
K02000001,United Kingdom,overview,2020-10-03,1944
K02000001,United Kingdom,overview,2020-10-02,6920
K02000001,United Kingdom,overview,2020-10-01,6573
K02000001,United Kingdom,overview,2020-09-30,5883
K02000001,United Kingdom,overview,2020-09-29,5088
K02000001,United Kingdom,overview,2020-09-28,4885
K02000001,United Kingdom,overview,2020-09-27,3912
K02000001,United Kingdom,overview,2020-09-26,4809
K02000001,United Kingdom,overview,2020-09-25,10017
K02000001,United Kingdom,overview,2020-09-24,12659
K02000001,United Kingdom,overview,2020-09-23,10207
K02000001,United Kingdom,overview,2020-09-22,11544
K02000001,United Kingdom,overview,2020-09-21,11277
K02000001,United Kingdom,overview,2020-09-20,12313
K02000001,United Kingdom,overview,2020-09-19,14743
K02000001,United Kingdom,overview,2020-09-18,23603
K02000001,United Kingdom,overview,2020-09-17,27092
K02000001,United Kingdom,overview,2020-09-16,43023
K02000001,United Kingdom,overview,2020-09-15,51995
K02000001,United Kingdom,overview,2020-09-14,4666
K02000001,United Kingdom,overview,2020-09-13,1695
K02000001,United Kingdom,overview,2020-09-12,3221
K02000001,United Kingdom,overview,2020-09-11,9189
K02000001,United Kingdom,overview,2020-09-10,7187
K02000001,United Kingdom,overview,2020-09-09,6839
K02000001,United Kingdom,overview,2020-09-08,6800
K02000001,United Kingdom,overview,2020-09-07,3989
K02000001,United Kingdom,overview,2020-09-06,1256
K02000001,United Kingdom,overview,2020-09-05,2807
K02000001,United Kingdom,overview,2020-09-04,7841
K02000001,United Kingdom,overview,2020-09-03,7229
K02000001,United Kingdom,overview,2020-09-02,6487
K02000001,United Kingdom,overview,2020-09-01,4348
K02000001,United Kingdom,overview,2020-08-31,1566
K02000001,United Kingdom,overview,2020-08-30,1027
K02000001,United Kingdom,overview,2020-08-29,3477
K02000001,United Kingdom,overview,2020-08-28,8237
K02000001,United Kingdom,overview,2020-08-27,8894
K02000001,United Kingdom,overview,2020-08-26,7237
K02000001,United Kingdom,overview,2020-08-25,6898
K02000001,United Kingdom,overview,2020-08-24,5453
K02000001,United Kingdom,overview,2020-08-23,9754
K02000001,United Kingdom,overview,2020-08-22,4176
K02000001,United Kingdom,overview,2020-08-21,9482
K02000001,United Kingdom,overview,2020-08-20,9683
K02000001,United Kingdom,overview,2020-08-19,9076
K02000001,United Kingdom,overview,2020-08-18,5816
K02000001,United Kingdom,overview,2020-08-17,3910
K02000001,United Kingdom,overview,2020-08-16,1132
K02000001,United Kingdom,overview,2020-08-15,2790
K02000001,United Kingdom,overview,2020-08-14,7516
K02000001,United Kingdom,overview,2020-08-13,6387
K02000001,United Kingdom,overview,2020-08-12,7955
K02000001,United Kingdom,overview,2020-08-11,8753
K02000001,United Kingdom,overview,2020-08-10,11563
K02000001,United Kingdom,overview,2020-08-09,3217
K02000001,United Kingdom,overview,2020-08-08,4525
K02000001,United Kingdom,overview,2020-08-07,8651
K02000001,United Kingdom,overview,2020-08-06,11147
K02000001,United Kingdom,overview,2020-08-05,13408
K02000001,United Kingdom,overview,2020-08-04,13157
K02000001,United Kingdom,overview,2020-08-03,13667
K02000001,United Kingdom,overview,2020-08-02,18218
K02000001,United Kingdom,overview,2020-08-01,16077
K02000001,United Kingdom,overview,2020-07-31,25472
K02000001,United Kingdom,overview,2020-07-30,36629
K02000001,United Kingdom,overview,2020-07-29,8041
K02000001,United Kingdom,overview,2020-07-28,7128
K02000001,United Kingdom,overview,2020-07-27,9525
K02000001,United Kingdom,overview,2020-07-26,1623
K02000001,United Kingdom,overview,2020-07-25,3892
K02000001,United Kingdom,overview,2020-07-24,9937
K02000001,United Kingdom,overview,2020-07-23,11016
K02000001,United Kingdom,overview,2020-07-22,10361
K02000001,United Kingdom,overview,2020-07-21,9933
K02000001,United Kingdom,overview,2020-07-20,9223
K02000001,United Kingdom,overview,2020-07-19,6746
K02000001,United Kingdom,overview,2020-07-18,4614
K02000001,United Kingdom,overview,2020-07-17,13185
K02000001,United Kingdom,overview,2020-07-16,14991
K02000001,United Kingdom,overview,2020-07-15,14235
K02000001,United Kingdom,overview,2020-07-14,13935
K02000001,United Kingdom,overview,2020-07-13,11523
K02000001,United Kingdom,overview,2020-07-12,7227
K02000001,United Kingdom,overview,2020-07-11,8341
K02000001,United Kingdom,overview,2020-07-10,20834
K02000001,United Kingdom,overview,2020-07-09,23935
K02000001,United Kingdom,overview,2020-07-08,25703
K02000001,United Kingdom,overview,2020-07-07,19261
K02000001,United Kingdom,overview,2020-07-06,16815
K02000001,United Kingdom,overview,2020-07-05,4541
K02000001,United Kingdom,overview,2020-07-04,11826
K02000001,United Kingdom,overview,2020-07-03,33348
K02000001,United Kingdom,overview,2020-07-02,33073
K02000001,United Kingdom,overview,2020-07-01,33783
K02000001,United Kingdom,overview,2020-06-30,32623
K02000001,United Kingdom,overview,2020-06-29,29722
K02000001,United Kingdom,overview,2020-06-28,7072
K02000001,United Kingdom,overview,2020-06-27,17110
K02000001,United Kingdom,overview,2020-06-26,38957
K02000001,United Kingdom,overview,2020-06-25,47052
K02000001,United Kingdom,overview,2020-06-24,49168
K02000001,United Kingdom,overview,2020-06-23,57034
K02000001,United Kingdom,overview,2020-06-22,39931
K02000001,United Kingdom,overview,2020-06-21,16030
K02000001,United Kingdom,overview,2020-06-20,34504
K02000001,United Kingdom,overview,2020-06-19,42988
K02000001,United Kingdom,overview,2020-06-18,46241
K02000001,United Kingdom,overview,2020-06-17,45193
K02000001,United Kingdom,overview,2020-06-16,41573
K02000001,United Kingdom,overview,2020-06-15,29935
K02000001,United Kingdom,overview,2020-06-14,14436
K02000001,United Kingdom,overview,2020-06-13,21435
K02000001,United Kingdom,overview,2020-06-12,48200
K02000001,United Kingdom,overview,2020-06-11,47566
K02000001,United Kingdom,overview,2020-06-10,44476
K02000001,United Kingdom,overview,2020-06-09,38694
K02000001,United Kingdom,overview,2020-06-08,28446
K02000001,United Kingdom,overview,2020-06-07,17196
K02000001,United Kingdom,overview,2020-06-06,24427
K02000001,United Kingdom,overview,2020-06-05,43048
K02000001,United Kingdom,overview,2020-06-04,45010
K02000001,United Kingdom,overview,2020-06-03,41772
K02000001,United Kingdom,overview,2020-06-02,36973
K02000001,United Kingdom,overview,2020-06-01,30947
K02000001,United Kingdom,overview,2020-05-31,23191
K02000001,United Kingdom,overview,2020-05-30,23205
